<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# Lists of eth addresses for uTCA and related HW (PSU, etc...)

# uTCA TCDS crates in S1E01
# Crate in U26
AMC9706,0C:05:04:03:09:96
AMC9707,0C:05:04:03:09:97
AMC9708,0C:05:04:03:09:98
AMC9709,0C:05:04:03:09:99
AMC9710,0C:05:04:03:09:9A
AMC9711,0C:05:04:03:09:9B
AMC9712,0C:05:04:03:09:9C
AMC97131,0C:05:04:03:09:9D
AMC97132,0C:05:04:03:09:9E
# uTCA crate in S2F03 U17
# 0C:05:04:03:05:1
MCH2701,00:40:42:0B:1A:F7
AMC2701,0C:05:04:03:05:11
AMC2702,0C:05:04:03:05:12
AMC2703,0C:05:04:03:05:13
AMC2704,0C:05:04:03:05:14
AMC2705,0C:05:04:03:05:15
AMC2706,0C:05:04:03:05:16
AMC2707,0C:05:04:03:05:17
AMC2708,0C:05:04:03:05:18
AMC2709,0C:05:04:03:05:19
AMC2710,0C:05:04:03:05:1A
AMC2711,0C:05:04:03:05:1B
AMC2712,0C:05:04:03:05:1C
AMC27131,0C:05:04:03:05:1D
AMC27132,0C:05:04:03:05:1E
# uTCA crate in S2F03 U27
# 0C:05:04:03:05:2
MCH2801,00:40:42:0B:1A:F6
AMC2801,0C:05:04:03:05:21
AMC2802,0C:05:04:03:05:22
AMC2803,0C:05:04:03:05:23
AMC2804,0C:05:04:03:05:24
AMC2805,0C:05:04:03:05:25
AMC2806,0C:05:04:03:05:26
AMC2807,0C:05:04:03:05:27
AMC2808,0C:05:04:03:05:28
AMC2809,0C:05:04:03:05:29
AMC2810,0C:05:04:03:05:2A
AMC2811,0C:05:04:03:05:2B
AMC2812,0C:05:04:03:05:2C
AMC28131,0C:05:04:03:05:2D
AMC28132,0C:05:04:03:05:2E
# uTCA crate in S2F04 U14
# 0C:05:04:03:09:A0
MCH9801,00:40:42:0B:10:F1
AMC9801,0C:05:04:03:09:A1
AMC9802,0C:05:04:03:09:A2
AMC9803,0C:05:04:03:09:A3
AMC9804,0C:05:04:03:09:A4
AMC9805,0C:05:04:03:09:A5
AMC9806,0C:05:04:03:09:A6
AMC9807,0C:05:04:03:09:A7
AMC9808,0C:05:04:03:09:A8
AMC9809,0C:05:04:03:09:A9
AMC9810,0C:05:04:03:09:AA
AMC9811,0C:05:04:03:09:AB
